ingredients,rating
"ice-cubes,absolut-vodka,cherry-liqueur,lemon-juice",20
"ice-cubes,gin,dry-vermouth,orange-juice,orange-curacao",30
"ice-cubes,cognac,sherry,bitters",50
"ice-cubes,gin,black-currant-liqueur,lemon-juice,lemon",41
"ice-cubes,gin,campari,triple-sec,orange",20
"ice-cubes,cognac,orange-curacao,orange-bitters",40
"ice-cubes,light-rum,caperitif,orange-bitters,lemon",20
"ice-cubes,light-rum,gin,grenadine,lemon-juice",20
"ice-cubes,crushed-ice,absolut-vodka,blue-curacao,lemon-juice,maraschino-berry",23
"ice-cubes,gin,dry-vermouth,calvados,grapefruit-juice,vermouth-sweet",21
"ice-cubes,spiced-rum,mango-puree,lime-juice,simple-syrup,mango,mint-leaf",55
"ice-cubes,bison-grass-flavored-vodka,apple-juice-fresh-pressed,lemon-juice,passionfruit-syrup,peach-schnapps",42
"ice-cubes,light-rum,dry-vermouth,peach-liqueur,lime",10
"ice-cubes,aged-rum-of-cuban-type,maraschino-liqueur,orange-bitters,orange",65
"ice-cubes,crushed-ice,absolut-mandrin,galliano,lemon-juice",40
"ice-cubes,bourbon,lime-juice,yellow-chartreuse,egg-white,maraschino-berry",44
"ice-cubes,gin,dubonnet,campari,almond-liqueur",24
"ice-cubes,calvados,vermouth-sweet,orange-bitters,maraschino-berry",20
"ice-cubes,apricot-brandy,dry-vermouth,scotch-whisky,orange-bitters,maraschino-berry",33
"ice-cubes,absolut-vodka,blue-curacao,violet-liqueur,white-cacao-liqueur,cream",32
"ice-cubes,absolut-vodka,triple-sec,blue-curacao",33
"ice-cubes,gin,amaretto,lemon-juice,orange-bitters",50
"ice-cubes,cognac,orange-curacao,creme-de-menthe-white,peach-bitters",26
"ice-cubes,absolut-vodka,pineapple-juice,banana-liqueur",33
"ice-cubes,gin,green-mint-liqueur,lemon-juice",20
"ice-cubes,absolut-citron,mandarines-liqueur,absinthe,lemon-lime-soda,mandarin",23
"ice-cubes,gin,orange-curacao,bitters",22
"crushed-ice,lemon-juice,raspberry,sugar-superfine,mint-leaf",50
"ice-cubes,scotch-whisky,light-rum,lemon-juice,orange-bitters,pastis",22
"ice-cubes,absolut-mandrin,lemon-juice,simple-syrup,blue-curacao",43
"ice-cubes,absolut-vodka,dry-vermouth,green-olive",50
"ice-cubes,gin,lemon-juice,violet-liqueur,egg-white",34
"ice-cubes,absolut-vodka,cherry-liqueur,cola,maraschino-berry",50
"ice-cubes,gin,apricot-brandy,orange-curacao,lemon,maraschino-berry",40
"ice-cubes,light-rum,pineapple-juice,lemon-juice,grenadine,lemon,maraschino-berry",20
"ice-cubes,dry-vermouth,gin,dubonnet",22
"ice-cubes,scotch-whisky,grenadine,orange-bitters,pastis",23
"grenadine,cream,blue-curacao",20
"ice-cubes,absolut-kurant,cream,milk,black-raspberry-liqueur,cream-liqueur,hazelnut-liqueur,white-cacao-liqueur,chocolate",30
"ice-cubes,scotch-whisky,simple-syrup,bitters",20
"brandy,milk,maple-syrup",50
"ice-cubes,amaretto,orange-juice,pineapple-juice,banana-liqueur,orange",40
"ice-cubes,cognac,creme-de-menthe-white,mint-leaf",50
"ice-cubes,gin,blue-curacao,triple-sec,maraschino-berry",44
"ice-cubes,cognac,calvados,vermouth-sweet",42
"dark-cacao-liqueur,cream,bitters",50
"ice-cubes,dark-rum-of-jamaican-type,lemon-juice,banana-liqueur",10
"ice-cubes,scotch-whisky,dark-rum-of-jamaican-type,lemon-juice,absinthe,orange-bitters,maraschino-berry,orange",21
"absolut-vodka,blue-curacao,cinnamon-schnapps-liqueur,champagne",50
"ice-cubes,scotch-whisky,dry-vermouth,grapefruit-juice",30
"ice-cubes,gin,pastis,egg-white,simple-syrup",20
"ice-cubes,aged-rum-of-cuban-type,apple-liqueur,italian-vermouth,campari,apple",33
"ice-cubes,cognac,anisette,triple-sec,egg-white",10
"ice-cubes,dry-vermouth,gin,vermouth-sweet,raspberry",30
"ice-cubes,light-rum,sherry,vermouth-sweet",30
"ice-cubes,dark-rum-of-jamaican-type,triple-sec,lemon-juice",50
"ice-cubes,absolut-vodka,apple-liqueur,lemon-juice,ginger-syrup,basil",47
"ice-cubes,gin-old-tom,herbal-liqueur-benedictine-dom,lemon-juice,grenadine,lemon",12
"ice-cubes,gin,lime-juice,pastis,triple-sec",40
"ice-cubes,scotch-whisky,apple-juice-fresh-pressed,apple",30
"ice-cubes,gin,lemon-juice,triple-sec,blue-curacao",32
"ice-cubes,gin,vermouth-sweet,maraschino-berry",23
"amaretto,cream-liqueur,triple-sec",14
"ice-cubes,vermouth-sweet,bitters",13
"ice-cubes,absolut-vodka,sloe-juice,lemon,mango",40
"ice-cubes,gin,lemon-juice,white-cacao-liqueur,vermouth-sweet",20
"ice-cubes,gin,cherry-brandy,yellow-chartreuse",20
"ice-cubes,calvados,grapefruit-juice,simple-syrup",44
"ice-cubes,gin,dry-vermouth,lemon-juice,orange-curacao,bitters,lemon,maraschino-berry",20
"ice-cubes,cognac,dry-vermouth,whisky-honey-liqueur-drambuie,bitters",20
"ice-cubes,absolut-vodka,lemon-juice,simple-syrup,vanilla-ice-cream",46
"ice-cubes,gin,cherry-brandy,lemon-juice,maraschino-berry",44
"ice-cubes,gin,dry-vermouth,pineapple-juice,vermouth-sweet",23
"ice-cubes,absolut-vodka,cranberry-juice,lime-juice,passionfruit-liqueur,passionfruit",40
"ice-cubes,vermouth-sweet,bitters",10
maraschino-liqueur,4
"ice-cubes,italian-vermouth,bitters",10
"ice-cubes,aged-rum-of-cuban-type,apricot-brandy,vermouth-sweet",49
"ice-cubes,rye-whiskey,benedictine-dom,lime-juice,bitters",20
"scotch-whisky,coffee,simple-syrup,cream",43
"ice-cubes,gin,apricot-brandy,dry-vermouth,orange-juice,grenadine",44
"ice-cubes,raspberry-rum,cranberry-juice,raspberry-soda,triple-sec,lime-juice",42
"ice-cubes,absolut-vodka,almond-liqueur,white-cacao-liqueur",20
"ice-cubes,gin,orange-juice,absinthe,grenadine",34
"ice-cubes,gin,grapefruit-juice,cranberry-juice,elderflower-cordial,lime-juice,carambola",50
"orange-flavored-brandy,amaretto,simple-syrup,orange-flavored-tea-hot,orange",57
"ice-cubes,gin,vermouth-sweet,orange-juice",44
"ice-cubes,gin,absinthe,grenadine,bitters",33
"ice-cubes,gin,dry-vermouth,orange-juice,violet-liqueur",10
"ice-cubes,gin,orange-juice,benedictine-dom,grenadine,orange",34
"ice-cubes,absolut-vodka,espresso-coffee-cold,dark-cacao-liqueur,raspberry-liqueur",50
"ice-cubes,sherry,vermouth-sweet,orange-bitters",39
"absinthe,cream-liqueur,pisang-ambon",11
"ice-cubes,gin,benedictine-dom,cherry-brandy,bitters,lemon-juice,orange-bitters,soda-water",46
"ice-cubes,absolut-vodka,cream,dark-cacao-liqueur,triple-sec,orange",40
"ice-cubes,absolut-vodka,lime-juice,raspberry-puree,raspberry",1
"ice-cubes,gin,dry-vermouth,maraschino-liqueur,orange-bitters,simple-syrup",50
"ice-cubes,scotch-whisky,vermouth-sweet,bitters",21
"absolut-100,lemon-juice,runny-honey,tea-hot",44
"ice-cubes,absolut-vodka,green-mint-liqueur,white-cacao-liqueur",33
"ice-cubes,gin,lemon-juice,melon-liqueur,ginger-ale",20
"ice-cubes,gin,creme-de-menthe-white,pastis,grenadine",20
"absolut-100,champagne",50
"ice-cubes,gin,dry-vermouth,whisky-honey-liqueur-drambuie,banana-liqueur",20
"ice-cubes,absolut-vodka,cognac,lemon-juice,simple-syrup",20
"ice-cubes,absolut-vodka,black-raspberry-liqueur,lime-cordial,grenadine,soda-water",42
"ice-cubes,absolut-vodka,galliano,lime-juice,triple-sec,egg-white,pineapple",30
"ice-cubes,cognac,gin,triple-sec",10
"ice-cubes,gin,cream,triple-sec,simple-syrup",37
"ice-cubes,absolut-citron,pomegranate-juice,black-raspberry-liqueur,orange",40
"ice-cubes,gin,kummel,lemon-juice",30
"ice-cubes,gin,orange-flavored-brandy,orange-juice",30
"ice-cubes,cognac,dry-vermouth,port-white,anisette,bitters",34
"ice-cubes,scotch-whisky,vermouth-sweet,benedictine-dom,bitters,lemon",38
"ice-cubes,absolut-orient-apple,ginger-ale,lemon,mint-leaf",51
"ice-cubes,absolut-vodka,orange-flavored-brandy,orange-juice,triple-sec,orange",34
"ice-cubes,scotch-whisky,vermouth-sweet,whisky-honey-liqueur-drambuie,orange-curacao,orange",44
"ice-cubes,dry-vermouth,gin,vermouth-sweet,strawberry",44
"ice-cubes,absolut-vodka,orange-flavored-brandy,cherry-liqueur,lime-cordial,egg-white",10
"ice-cubes,scotch-whisky,lemon-juice,egg-white,pastis",11
"ice-cubes,dry-vermouth,rye-whiskey,pastis,bitters,simple-syrup",20
"ice-cubes,cognac,cream,maraschino-liqueur,egg-yolk",54
"ice-cubes,gin,creme-de-menthe-white,lemon-juice,champagne",49
"ice-cubes,absolut-vodka,peach-syrup,orange-juice,cranberry-juice,orange",40
"ice-cubes,gin,absinthe,simple-syrup",11
"ice-cubes,light-rum,calvados,vermouth-sweet,lemon",22
"ice-cubes,dry-vermouth,cognac,pastis,bitters",11
"ice-cubes,gin,lemon-juice,simple-syrup,egg-white",48
"ice-cubes,apricot-brandy,gin",20
"vanilla-ice-cream,cream,strawberry,basil",50
"ice-cubes,cognac,orange-flavored-brandy,lime-cordial,egg-white",30
"ice-cubes,gin,lemon-juice,simple-syrup,cream,soda-water,strawberry",33
"ice-cubes,gin,cherry-brandy,lemon-juice,triple-sec",44
"ice-cubes,raspberry-rum,lemon-lime-soda,raisin,raspberry",36
"ice-cubes,absolut-vodka,light-rum,black-currant-liqueur,lime-juice,simple-syrup",34
"ice-cubes,lime-juice,ginger-ale,apple-juice,lime",50
"crushed-ice,absolut-vodka,grapefruit-juice,black-currant-liqueur",47
"ice-cubes,dry-vermouth,gin,orange-flavored-brandy,pastis,maraschino-berry",23
"ice-cubes,light-rum,port-white,coffee",30
"ice-cubes,gin,lemon-juice,mint-leaf",10
"ice-cubes,vanilla-rum,pineapple-juice,lime-juice,vanilla-syrup",50
"ice-cubes,absolut-vodka,peach-schnapps",2
