players	count	points
A.J. Price,Brandon Rush,Dahntay Jones,Danny Granger,Earl Watson	1	3.0
A.J. Price,Brandon Rush,Dahntay Jones,Danny Granger,Roy Hibbert	4	6.25
A.J. Price,Brandon Rush,Dahntay Jones,Danny Granger,Solomon Jones	2	5.5
A.J. Price,Brandon Rush,Dahntay Jones,Danny Granger,Troy Murphy	2	8.5
A.J. Price,Brandon Rush,Dahntay Jones,Danny Granger,Tyler Hansbrough	1	2.0
A.J. Price,Brandon Rush,Dahntay Jones,Earl Watson,Solomon Jones	2	8.5
A.J. Price,Brandon Rush,Dahntay Jones,Earl Watson,Troy Murphy	1	10.0
A.J. Price,Brandon Rush,Dahntay Jones,Josh McRoberts,Luther Head	3	6.333333333333333
A.J. Price,Brandon Rush,Dahntay Jones,Josh McRoberts,Roy Hibbert	5	12.8
A.J. Price,Brandon Rush,Dahntay Jones,Josh McRoberts,Travis Diener	1	13.0
A.J. Price,Brandon Rush,Dahntay Jones,Josh McRoberts,Troy Murphy	2	2.0
A.J. Price,Brandon Rush,Dahntay Jones,Luther Head,Roy Hibbert	2	6.0
A.J. Price,Brandon Rush,Dahntay Jones,Luther Head,Solomon Jones	3	6.666666666666667
A.J. Price,Brandon Rush,Dahntay Jones,Mike Dunleavy,Roy Hibbert	5	6.6
A.J. Price,Brandon Rush,Dahntay Jones,Mike Dunleavy,Troy Murphy	8	5.5
A.J. Price,Brandon Rush,Dahntay Jones,Roy Hibbert,Troy Murphy	3	3.6666666666666665
A.J. Price,Brandon Rush,Dahntay Jones,Roy Hibbert,Tyler Hansbrough	1	9.0
A.J. Price,Brandon Rush,Dahntay Jones,Solomon Jones,Travis Diener	1	4.0
A.J. Price,Brandon Rush,Dahntay Jones,Solomon Jones,Tyler Hansbrough	1	2.0
A.J. Price,Brandon Rush,Dahntay Jones,T.J. Ford,Troy Murphy	1	10.0
A.J. Price,Brandon Rush,Dahntay Jones,Troy Murphy,Tyler Hansbrough	1	2.0
A.J. Price,Brandon Rush,Danny Granger,Earl Watson,Josh McRoberts	1	5.0
A.J. Price,Brandon Rush,Danny Granger,Earl Watson,Roy Hibbert	2	4.0
A.J. Price,Brandon Rush,Danny Granger,Earl Watson,Troy Murphy	3	7.333333333333333
A.J. Price,Brandon Rush,Danny Granger,Josh McRoberts,Mike Dunleavy	2	5.0
A.J. Price,Brandon Rush,Danny Granger,Josh McRoberts,Roy Hibbert	1	2.0
A.J. Price,Brandon Rush,Danny Granger,Josh McRoberts,Troy Murphy	3	6.666666666666667
A.J. Price,Brandon Rush,Danny Granger,Luther Head,Troy Murphy	1	6.0
A.J. Price,Brandon Rush,Danny Granger,Mike Dunleavy,Roy Hibbert	8	6.75
A.J. Price,Brandon Rush,Danny Granger,Mike Dunleavy,Solomon Jones	5	4.4
A.J. Price,Brandon Rush,Danny Granger,Mike Dunleavy,Troy Murphy	8	6.75
A.J. Price,Brandon Rush,Danny Granger,Roy Hibbert,Troy Murphy	6	13.5
A.J. Price,Brandon Rush,Danny Granger,Solomon Jones,Troy Murphy	2	14.0
A.J. Price,Brandon Rush,Earl Watson,Josh McRoberts,Luther Head	1	10.0
A.J. Price,Brandon Rush,Earl Watson,Josh McRoberts,Roy Hibbert	1	9.0
A.J. Price,Brandon Rush,Earl Watson,Josh McRoberts,Solomon Jones	1	4.0
A.J. Price,Brandon Rush,Earl Watson,Josh McRoberts,Troy Murphy	1	3.0
A.J. Price,Brandon Rush,Earl Watson,Luther Head,Roy Hibbert	1	7.0
A.J. Price,Brandon Rush,Earl Watson,Roy Hibbert,Troy Murphy	3	10.333333333333334
A.J. Price,Brandon Rush,Earl Watson,Roy Hibbert,Tyler Hansbrough	1	10.0
A.J. Price,Brandon Rush,Josh McRoberts,Luther Head,Roy Hibbert	3	6.666666666666667
A.J. Price,Brandon Rush,Josh McRoberts,Luther Head,Solomon Jones	3	2.0
A.J. Price,Brandon Rush,Josh McRoberts,Luther Head,Tyler Hansbrough	1	7.0
A.J. Price,Brandon Rush,Josh McRoberts,Mike Dunleavy,Roy Hibbert	3	10.333333333333334
A.J. Price,Brandon Rush,Josh McRoberts,Mike Dunleavy,Solomon Jones	1	10.0
A.J. Price,Brandon Rush,Josh McRoberts,Mike Dunleavy,Troy Murphy	3	6.0
A.J. Price,Brandon Rush,Luther Head,Roy Hibbert,Troy Murphy	1	4.0
A.J. Price,Brandon Rush,Mike Dunleavy,Roy Hibbert,Troy Murphy	4	5.75
A.J. Price,Brandon Rush,Mike Dunleavy,Roy Hibbert,Tyler Hansbrough	1	3.0
A.J. Price,Brandon Rush,Mike Dunleavy,Solomon Jones,Troy Murphy	4	5.75
A.J. Price,Brandon Rush,Mike Dunleavy,Solomon Jones,Tyler Hansbrough	1	4.0
A.J. Price,Brandon Rush,Mike Dunleavy,Troy Murphy,Tyler Hansbrough	2	5.5
A.J. Price,Dahntay Jones,Danny Granger,Earl Watson,Roy Hibbert	2	8.0
A.J. Price,Dahntay Jones,Danny Granger,Earl Watson,Troy Murphy	4	3.5
A.J. Price,Dahntay Jones,Danny Granger,Josh McRoberts,Mike Dunleavy	4	4.75
A.J. Price,Dahntay Jones,Danny Granger,Josh McRoberts,Troy Murphy	1	5.0
A.J. Price,Dahntay Jones,Danny Granger,Luther Head,Roy Hibbert	1	4.0
A.J. Price,Dahntay Jones,Danny Granger,Luther Head,Solomon Jones	1	7.0
A.J. Price,Dahntay Jones,Danny Granger,Mike Dunleavy,Roy Hibbert	7	7.571428571428571
A.J. Price,Dahntay Jones,Danny Granger,Mike Dunleavy,Solomon Jones	5	7.2
A.J. Price,Dahntay Jones,Danny Granger,Mike Dunleavy,Troy Murphy	5	6.4
A.J. Price,Dahntay Jones,Danny Granger,Solomon Jones,Troy Murphy	3	2.0
A.J. Price,Dahntay Jones,Earl Watson,Josh McRoberts,Solomon Jones	1	4.0
A.J. Price,Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert	2	2.0
A.J. Price,Dahntay Jones,Earl Watson,Mike Dunleavy,Troy Murphy	2	3.5
A.J. Price,Dahntay Jones,Earl Watson,Solomon Jones,Tyler Hansbrough	1	2.0
A.J. Price,Dahntay Jones,Jeff Foster,Luther Head,Troy Murphy	1	2.0
A.J. Price,Dahntay Jones,Jeff Foster,Luther Head,Tyler Hansbrough	1	2.0
A.J. Price,Dahntay Jones,Josh McRoberts,Luther Head,Mike Dunleavy	2	3.5
A.J. Price,Dahntay Jones,Josh McRoberts,Luther Head,Roy Hibbert	2	4.0
A.J. Price,Dahntay Jones,Josh McRoberts,Luther Head,Solomon Jones	3	8.666666666666666
A.J. Price,Dahntay Jones,Josh McRoberts,Mike Dunleavy,Roy Hibbert	4	9.0
A.J. Price,Dahntay Jones,Josh McRoberts,Mike Dunleavy,Solomon Jones	3	6.0
A.J. Price,Dahntay Jones,Josh McRoberts,Mike Dunleavy,Troy Murphy	1	17.0
A.J. Price,Dahntay Jones,Josh McRoberts,Roy Hibbert,T.J. Ford	1	8.0
A.J. Price,Dahntay Jones,Josh McRoberts,Solomon Jones,Travis Diener	1	9.0
A.J. Price,Dahntay Jones,Luther Head,Mike Dunleavy,Roy Hibbert	5	3.8
A.J. Price,Dahntay Jones,Luther Head,Mike Dunleavy,Troy Murphy	2	7.5
A.J. Price,Dahntay Jones,Mike Dunleavy,Roy Hibbert,T.J. Ford	1	6.0
A.J. Price,Dahntay Jones,Mike Dunleavy,Roy Hibbert,Travis Diener	1	7.0
A.J. Price,Dahntay Jones,Mike Dunleavy,Roy Hibbert,Troy Murphy	3	4.666666666666667
A.J. Price,Dahntay Jones,Mike Dunleavy,Roy Hibbert,Tyler Hansbrough	1	6.0
A.J. Price,Dahntay Jones,Mike Dunleavy,Solomon Jones,Troy Murphy	4	4.0
A.J. Price,Dahntay Jones,Mike Dunleavy,Solomon Jones,Tyler Hansbrough	1	5.0
A.J. Price,Dahntay Jones,Mike Dunleavy,T.J. Ford,Troy Murphy	1	9.0
A.J. Price,Dahntay Jones,Solomon Jones,T.J. Ford,Tyler Hansbrough	1	10.0
A.J. Price,Danny Granger,Earl Watson,Josh McRoberts,Mike Dunleavy	1	11.0
A.J. Price,Danny Granger,Earl Watson,Mike Dunleavy,Roy Hibbert	3	6.666666666666667
A.J. Price,Danny Granger,Earl Watson,Mike Dunleavy,Troy Murphy	5	10.2
A.J. Price,Danny Granger,Josh McRoberts,Mike Dunleavy,Roy Hibbert	4	4.25
A.J. Price,Danny Granger,Luther Head,Mike Dunleavy,Roy Hibbert	4	9.75
A.J. Price,Danny Granger,Luther Head,Roy Hibbert,Troy Murphy	1	6.0
A.J. Price,Danny Granger,Mike Dunleavy,Roy Hibbert,Troy Murphy	1	14.0
A.J. Price,Danny Granger,Mike Dunleavy,Solomon Jones,Troy Murphy	1	2.0
A.J. Price,Danny Granger,Roy Hibbert,T.J. Ford,Troy Murphy	1	7.0
A.J. Price,Danny Granger,Solomon Jones,T.J. Ford,Tyler Hansbrough	1	2.0
A.J. Price,Earl Watson,Mike Dunleavy,Solomon Jones,Troy Murphy	2	2.5
A.J. Price,Earl Watson,Mike Dunleavy,Troy Murphy,Tyler Hansbrough	1	5.0
A.J. Price,Jeff Foster,Luther Head,Mike Dunleavy,Tyler Hansbrough	1	9.0
A.J. Price,Josh McRoberts,Luther Head,Mike Dunleavy,Roy Hibbert	1	4.0
A.J. Price,Josh McRoberts,Luther Head,Mike Dunleavy,Tyler Hansbrough	1	6.0
A.J. Price,Josh McRoberts,Mike Dunleavy,Solomon Jones,Travis Diener	1	3.0
A.J. Price,Luther Head,Mike Dunleavy,Roy Hibbert,Tyler Hansbrough	1	8.0
A.J. Price,Luther Head,Mike Dunleavy,Troy Murphy,Tyler Hansbrough	1	7.0
A.J. Price,Mike Dunleavy,T.J. Ford,Troy Murphy,Tyler Hansbrough	1	4.0
Aaron Brooks,Bobby Jackson,Carl Landry,Chuck Hayes,Steve Novak	1	6.0
Aaron Brooks,Bobby Jackson,Carl Landry,Dikembe Mutombo,Steve Novak	1	11.0
Aaron Brooks,Bobby Jackson,Carl Landry,Dikembe Mutombo,Tracy McGrady	1	2.0
Aaron Brooks,Bobby Jackson,Carl Landry,Luther Head,Steve Novak	1	3.0
Aaron Brooks,Bobby Jackson,Chuck Hayes,Dikembe Mutombo,Steve Novak	1	4.0
Aaron Brooks,Bobby Jackson,Chuck Hayes,Luther Head,Shane Battier	1	14.0
Aaron Brooks,Bobby Jackson,Dikembe Mutombo,Luther Head,Tracy McGrady	1	2.0
Aaron Brooks,Bobby Jones,Carl Landry,Chuck Hayes,Steve Novak	1	2.0
Aaron Brooks,Bobby Jones,Chuck Hayes,Luther Head,Steve Novak	2	6.0
Aaron Brooks,Bonzi Wells,Carl Landry,Chuck Hayes,Shane Battier	2	8.0
Aaron Brooks,Bonzi Wells,Carl Landry,Chuck Hayes,Steve Novak	1	5.0
Aaron Brooks,Bonzi Wells,Carl Landry,Chuck Hayes,Tracy McGrady	5	5.0
Aaron Brooks,Bonzi Wells,Carl Landry,Luis Scola,Luther Head	2	9.5
Aaron Brooks,Bonzi Wells,Carl Landry,Luis Scola,Mike James	1	6.0
Aaron Brooks,Bonzi Wells,Carl Landry,Luis Scola,Rafer Alston	1	14.0
Aaron Brooks,Bonzi Wells,Carl Landry,Luis Scola,Tracy McGrady	3	7.666666666666667
Aaron Brooks,Bonzi Wells,Carl Landry,Luther Head,Shane Battier	2	3.0
