id	imdbID	max_gross
1	114709	184205561
3	107050	70172621
4	114885	67052156
5	113041	76594000
6	113277	67436818
8	112302	23735802
9	114576	20350171
10	113189	106600000
11	112346	65000000
12	112896	10693649
13	112453	11268750
14	113987	13560960
15	112760	10017322
16	112641	42438300
17	114388	43182776
18	113101	4301331
19	112281	108385533
20	113845	35324232
21	113161	72077000
22	112722	32051917
23	1186367	37492774
24	114168	30862146
25	113627	31968347
26	114057	2112951
27	114011	27400000
28	114117	5462325
29	112682	1513028
30	115012	2300000
31	112792	84919401
32	114746	57141459
33	114952	100442
34	112431	66600000
35	112637	3242342
36	112818	39025000
37	112286	71961
38	113442	19474589
39	112697	56631572
40	112749	676525
41	114279	2600000
42	112819	24200000
43	114272	4100000
44	113855	70454098
45	337978	134529403
46	113347	23574130
47	47478	21830
48	114148	141579773
49	114916	1194152
50	114814	23272306
52	113819	6700000
53	110299	438483
54	112499	17725500
55	791304	12867455
57	113321	17518220
58	110877	20882000
59	112714	575001
60	113419	35617599
61	116260	26792700
62	113862	82569971
63	116126	20109115
64	118002	10700000
65	115683	13427615
66	116839	2409225
67	114753	26282
68	113149	1400000
69	113118	27900000
70	116367	25753840
71	113010	11534477
72	384642	20159925
73	119683	5011840
74	115644	19030691
75	115676	4085000
76	114367	5781885
77	113973	209951
78	112744	832910
79	116731	22754725
80	112445	474047
81	114660	529766
82	112379	4823217
83	114039	3375000
84	113612	402091
85	112365	5304000
86	118158	10300000
87	116151	9871065
88	779982	16102
89	113972	8169363
92	117002	5600000
93	114825	19751736
94	115639	10597759
95	115759	70770147
96	113403	346839
97	113247	309811
100	115907	20200000
101	115734	1040879
102	117102	12350030
103	118040	2780278
104	116483	38624000
105	112579	71516617
107	117110	33609000
110	112573	75609945
111	75314	21100000
112	113326	32207000
113	115645	8797839
114	113774	524963
115	112556	414736
116	112373	1310200
117	115033	749812
118	116606	4635344
119	114536	6278139
120	117427	1945552
121	106473	204540
122	103859	70100000
123	109424	600200
124	114808	116797
125	116324	14891000
130	145653	54628
131	113107	78168
132	256524	2459315
135	116130	25785603
137	483726	12299380
139	107076	32534954
140	118055	51088705
141	115685	124060553
143	113200	381804
144	112585	10246600
145	112442	65807024
146	112342	7506759
147	112461	2424439
148	112427	258195
149	405163	10149
150	112384	173837933
151	114287	31600000
152	430912	5971336
153	112462	184031112
155	112495	5750110
156	112541	1275999
157	109370	178104
158	112642	100328194
159	112688	13040603
160	112715	81022101
161	112740	91400000
162	109508	3174695
163	112851	25625110
164	112857	16030096
165	112864	100012499
166	112887	259319
167	113044	293274
168	113071	37600435
169	113114	30077111
170	113243	7564000
171	113464	3487767
172	113481	19076000
173	113492	34693481
174	113500	17014653
175	113540	7417210
176	113677	1148752
177	113690	13293081
178	107447	953755
179	113729	15453274
180	113749	2122561
181	113820	37804616
182	113851	2488858
183	110604	1204430
184	110620	446934
185	113957	50727965
186	113986	69700000
187	114095	472370
188	114194	16115878
191	114345	10400000
193	114436	20350754
194	114478	8349430
195	114496	50892160
196	114508	60074103
197	114534	99318
198	114558	7919000
199	58450	18425
200	114666	5780000
201	114663	7025496
202	114702	339889
203	114682	36474193
204	114781	50024083
205	114798	7929241
206	114805	2875086
207	114887	50012507
208	114898	88246220
209	114928	3760515
210	114938	2167808
212	112602	7919823
213	111579	2616503
214	110882	763847
215	112471	5535405
216	112508	25588750
217	796302	23518
218	112571	23450000
219	112757	2568429
222	112679	23397365
223	109445	3151130
224	112883	22200000
225	109635	83015089
226	96316	19652638
227	109676	28720380
228	112854	1176982
229	109579	2104000
230	109642	24361867
231	109686	127175354
232	111797	7294403
233	109759	4183379
234	109758	6841570
235	109707	5887457
236	113117	38896854
237	113097	33194500
238	113028	11642946
239	113198	35348597
240	113303	12201255
241	113089	3987649
242	109771	2122948
244	113234	57100
245	109906	3313633
246	110057	7830611
247	110005	3049135
248	110066	26325256
249	110116	9914409
250	110006	17689177
251	269347	13482638
252	110099	26372663
253	110148	105264608
254	113463	2474000
255	110189	7557877
256	110216	36763355
257	113501	36853222
258	113538	13406717
259	113552	14942422
260	76759	322740140
261	110367	50083616
262	113670	10019307
263	110296	152457
264	109731	194223
265	103994	21665500
266	110322	66638883
267	110443	29412050
268	110365	1095885
269	107566	3269420
270	110391	18250211
271	113691	7603766
272	110428	15238994
273	21884	12000000
274	331933	8917251
275	110538	6798240
276	110516	18137661
277	39628	2650000
278	113808	5221281
279	113896	11079373
280	113870	17382000
281	91642	563358
282	110638	33683817
283	113967	3565508
287	110671	189509
288	110632	50282766
289	110737	20042048
290	110729	2201126
292	114069	67823573
293	110413	19251002
294	114113	2832826
295	114210	468240
296	110912	107928762
297	838232	11588150
298	105652	152322
299	110889	4176932
300	110932	24822619
301	114129	1238905
302	110963	2017346
303	114214	18636537
304	114296	12100000
305	110907	5860483
306	111495	4043686
307	108394	1324974
308	111507	1464625
309	110769	272232
312	114571	911310
313	111333	9771658
314	111112	6101600
315	111255	57362581
316	111282	71565669
317	89961	23717291
318	111161	28341469
319	111149	2881508
320	108260	102780
321	106966	2080805
322	114594	376928
324	111309	766464
325	113936	4686937
326	110081	2332728
327	114614	4064333
328	114608	21088568
329	111280	75668868
330	114609	11797927
331	111454	538534
332	114852	9417567
333	114694	32700000
334	111590	1746050
335	114788	536023
337	108550	9170214
338	114857	24048000
339	114924	81057016
340	499556	9820089
341	109655	759393
342	110598	15185594
343	112435	9685976
344	109040	72217000
345	109045	11220670
346	106339	2392599
347	104779	1862805
348	109348	13383737
349	109444	122187717
350	109446	92115211
351	109484	20160000
352	109504	13640000
353	109506	50693162
354	109450	1007583
355	109813	130512915
356	109830	330252182
357	109831	52700832
358	113305	38290723
359	110091	1777020
360	110093	30806194
361	110167	37800323
362	61852	141843612
363	107472	449707
364	110357	312900000
365	107426	4858139
366	111686	18090181
367	110475	119938730
368	110478	101631272
369	110588	2144667
370	110622	51109400
371	110771	38824341
372	110950	20982557
373	105226	2502551
