authors,citations
Won Kim,115
Won Kim,5
Hanan Samet,3253
Won Kim,558
David Maier,57
Oscar Nierstrasz,186
Michael Stonebraker,0
Michael Stonebraker,34
Michael Stonebraker,0
Leslie Lamport,379
Leslie Lamport,3
Donald E. Knuth,5
Michael Stonebraker,113
David E. Goldberg,48160
Donald E. Knuth,110
Donald E. Knuth,25
Donald E. Knuth,2
Hanan Samet,2992
Luca Cardelli,436
John A. Stankovic,90
Jonathan Grudin,23
Sushil Jajodia,53
Nadia Magnenat-Thalmann;Daniel Thalmann,28
Rajeev Motwani;Prabhakar Raghavan,4248
Judea Pearl,44
Dennis Shasha,2
David Maier,1689
Christos H. Papadimitriou,517
Jeffrey D. Ullman,8
Jeffrey D. Ullman,8
Rajeev Motwani;Prabhakar Raghavan,4453
Gerhard Weikum,4
Zbigniew Michalewicz,73
Frank Pfenning,165
Wolfram Burgard,2
Alfred V. Aho,2
E. Allen Emerson,3324
David S. Johnson,659
Robin Milner,354
Ronald L. Rivest,109
Gonzalo Navarro,2
John A. Stankovic;Krithi Ramamritham,118
Christian S. Jensen,25
Yiyu Yao,11
Raghu Ramakrishnan,1749
Gio Wiederhold,0
Gio Wiederhold,501
Gio Wiederhold,95
David Heckerman,195
Frank Pfenning,34
Andrew Blake;Andrew Zisserman,2147
Won Kim,695
Elisa Bertino,45
David J. DeWitt,162
David J. DeWitt,162
Jim Gray,24
Tomasz Imielinski,107
Vladimir Lifschitz,135
Yehoshua Sagiv,229
Christian S. Jensen,28
Jennifer Widom,31
Serge Abiteboul;Peter Buneman;Dan Suciu,1717
Jim Gray,2
Jim Gray,2
V. S. Subrahmanian,275
Christos Faloutsos,103
H. V. Jagadish,13
Rakesh Agrawal;Michael J. Carey;Miron Livny,451
Michael J. Carey;Miron Livny,182
Philip S. Yu,2
Hector Garcia-Molina;Jeffrey D. Ullman;Jennifer Widom,575
Dennis Shasha,3
Andrew S. Tanenbaum,104
Andrew S. Tanenbaum,2981
Jeffrey D. Ullman;Jennifer Widom,516
Christos Faloutsos,22
Pankaj K. Agarwal;Micha Sharir,12
Edmund M. Clarke;Somesh Jha,16
David Harel,25
Mary Shaw;David Garlan,133
Moshe Y. Vardi,93
Haixun Wang;Philip S. Yu;Jiawei Han,2
Michael Stonebraker,62
Gio Wiederhold,172
Thorsten Joachims,104
Umeshwar Dayal,79
Won Kim,38
H. V. Jagadish,15
Amir Pnueli,504
Craig Boutilier,15
Roberto Cipolla,57
Beng Chin Ooi,117
Jean-Yves Le Boudec;Patrick Thiran,1193
Dieter Fensel,25
Donald E. Knuth,136
Donald E. Knuth,28
David Harel,6
Robin Milner,5061
Birgit Pfitzmann,78
Steffen Staab,22
Steffen Staab;Rudi Studer,934
Ion Stoica,96
Rudi Studer,3
V. S. Subrahmanian;Sushil Jajodia,68
Madhu Sudan,112
Niklaus Wirth,1362
Niklaus Wirth,35
Jan Mendling,136
Bing Liu,714
Kurt Mehlhorn,44
Niklaus Wirth,101
Lance Fortnow,16
Katsushi Ikeuchi,70
Marc Levoy,1349
Demetri Terzopoulos,4
Ming Li,1
