synergy	colval
-36.8375	2.0
-30.7	1.0
-49.1875	1.0
-35.975	7.0
-24.75	1.0
-73.575	2.0
-66.8125	1.0
-37.4375	2.0
-38.5125	1.0
-29.275	1.0
-13.2875	2.0
-23.5375	1.0
-28.4875	1.0
-44.3625	2.0
-41.775	1.0
-40.9125	5.0
-21.1	12.0
-22.8375	1.0
-69.0875	10.0
-37.8375	7.0
-47.05	4.0
-28.9	1.0
-49.55	2.0
-51.1125	6.0
-32.5625	10.0
-23.7	3.0
-34.1125	4.0
-51.0	2.0
-36.4875	1.0
-38.225	3.0
-48.3125	1.0
-33.525	1.0
-14.7125	8.0
-42.9375	1.0
-55.25	2.0
-32.1375	1.0
-58.8125	3.0
-53.0	4.0
-48.2875	1.0
-50.2625	1.0
-54.875	3.0
-51.2375	1.0
-36.675	1.0
-23.2875	1.0
-33.55	1.0
-63.6625	7.0
-46.85	2.0
-47.675	2.0
-47.75	1.0
-29.7625	2.0
-28.35	1.0
-49.475	1.0
-25.9375	1.0
-42.275	4.0
-38.225	1.0
-47.7875	2.0
-43.65	3.0
-32.3125	23.0
-42.1875	2.0
-31.3875	1.0
-45.2625	8.0
-48.0625	15.0
-19.6125	2.0
-32.7875	1.0
-29.6125	5.0
-76.7375	2.0
-64.4625	4.0
-42.85	9.0
-37.85	4.0
-12.7875	2.0
-45.2875	1.0
-40.5	2.0
-10.875	5.0
-46.1	1.0
-31.475	1.0
-45.925	1.0
-15.9625	1.0
-15.6375	3.0
-46.55	3.0
-55.2625	2.0
-37.2875	2.0
-21.425	2.0
-49.9625	2.0
-54.6625	2.0
-54.6875	1.0
-51.9375	1.0
-35.1125	1.0
-55.0	3.0
-59.6875	1.0
-38.0	1.0
-36.5625	3.0
-37.225	4.0
-45.775	4.0
-24.5125	19.0
-47.5875	12.0
-29.3375	1.0
-27.675	3.0
-23.6875	56.0
-42.5	2.0
-39.1625	8.0
-34.7875	2.0
-54.4125	5.0
-36.5375	2.0
-48.3875	1.0
-66.8375	4.0
-44.6875	5.0
-51.2125	2.0
-45.525	1.0
-47.075	5.0
-61.0375	1.0
-32.7125	1.0
-38.7375	1.0
-52.1875	2.0
-34.1375	8.0
-46.575	1.0
-26.5875	2.0
-32.15	1.0
-35.0625	1.0
-36.9375	4.0
-32.4	1.0
-46.9625	3.0
-16.15	24.0
-36.575	1.0
-53.5125	5.0
-28.8625	3.0
-36.375	10.0
-47.125	3.0
-41.125	8.0
-12.3375	2.0
-70.625	2.0
-30.6375	1.0
-75.175	2.0
-49.425	7.0
-29.1875	6.0
-35.2375	1.0
-37.4875	4.0
-46.9375	1.0
-37.175	2.0
-38.3	4.0
-27.1875	2.0
-43.0375	1.0
-28.5875	4.0
-36.9625	1.0
-32.0375	1.0
-62.35	2.0
-25.0	3.0
-55.7125	2.0
-17.9875	10.0
-65.8	1.0
-50.175	3.0
-26.875	2.0
-36.9	6.0
-39.475	1.0
-39.45	2.0
-68.95	2.0
-57.3375	1.0
-47.0125	1.0
-27.5125	5.0
-32.925	3.0
-13.525	2.0
