synergy	colval
1085.04538607	-138.0
865.952822405	-59.0
1060.40735781	-27.8333333333
1028.67315717	-14.5
958.855319106	0.0
1218.72992049	-59.0
1006.79633914	0.0
38.6327012723	-14.0
1333.74122899	-112.5
1036.06800333	-53.0
37.6086030506	0.0
866.821923292	-20.0
86.3162016369	-10.0
118.873469629	-30.0
1037.30388634	0.0
1196.01628216	-139.0
1216.64173366	-30.0
365.880301816	-7.0
86.8631355407	-68.5
988.94629574	-1.0
976.770117664	0.0
937.748513693	-10.0
935.531941637	-49.0
1115.55801834	-23.0
1148.21831279	-186.0
178.631192516	0.0
100.214257249	0.0
236.298475743	-22.0
1150.13140408	11.5
1246.64181135	-133.75
1004.7261406	-39.0
936.560067385	-10.0
1431.73873614	-162.5
931.919164679	0.0
1002.12521167	-88.0
1004.31990836	-122.0
987.101232004	-17.0
337.802342059	-34.0
962.954563785	-19.0
1168.35990382	-40.0
1047.09047545	-138.0
1081.15387122	-6.0
881.219394093	-50.0
1029.98219098	-89.0
1118.36490558	-18.0
1232.64904073	0.0
1172.53579162	-41.0
69.4546949253	-60.0
923.978494964	-18.0
1323.79625168	-193.0
1134.88118358	-25.0
1154.8495006	-103.5
935.621833386	0.0
986.114950761	-70.0
280.451660774	10.0
971.82602429	-68.0
1088.76089842	-63.0
1066.93146862	-22.5
1243.95655768	-180.0
1131.5772546	-88.5
1137.74209798	-27.0
980.207842288	-54.5
1094.31961984	-39.5
887.579176065	10.0
949.469100236	-20.0
1076.94059373	-10.0
1003.3644815	-34.5
33.2674781707	-20.0
973.047602799	-37.0
1040.03429243	-10.0
1129.23453453	-41.1666666667
1057.42913465	-69.0
946.142489444	-24.0
1261.36083585	-33.0
959.335080165	0.0
100.08349192	0.0
1055.99971582	-40.0
936.59158785	-24.5
1046.26966165	-15.8333333333
1262.93212098	-163.0
1123.35717198	-68.5
1142.84031987	-86.0
1371.50342329	-273.0
1216.2271181	-43.5
365.636699965	30.0
987.939875793	-24.5
1307.08558164	-171.5
1091.37071037	-34.5
1362.01512014	-80.0
993.319328425	-14.0
1291.12025943	-76.0
1100.83627497	-73.5
923.730952858	-34.0
1029.4783083	-75.0
1263.97526663	-183.0
926.28334865	-59.0
68.4638962166	0.0
1004.69101685	-1.0
1026.06784043	-40.0
940.427232251	0.0
1178.74781812	-50.0
1041.56720545	-20.0
1053.19903565	0.0
1314.24790054	-39.0
1328.3860602	-39.0
1001.78761444	-70.0
1291.44202216	-54.5
1150.82287177	-34.0
1072.05019438	29.0
111.660921999	17.0
1193.17121119	-55.5
43.3714624893	-8.0
858.715350871	-17.0
1164.06005556	-69.0
1096.72809842	0.0
1193.38067929	-59.0
1013.83977969	-64.5
1081.63306597	-30.0
1248.65811257	-181.5
1198.95745843	-88.0
1108.38979482	-69.5
87.529383312	0.0
85.6431547619	-34.0
1312.87295998	-118.0
1175.0817808	-40.0
1300.32155306	-40.0
1119.62483119	-63.5
300.567964251	7.0
996.583687049	-10.0
1296.64797333	-287.0
1014.95023037	-30.0
995.297252953	-49.0
30.7901114944	-46.0
1134.67641145	-66.0
968.57018718	18.0
1234.18494094	-118.0
106.148388276	-2.0
140.256119792	-20.0
869.124682468	0.0
255.284594746	-60.0
1040.02772499	-62.5
1123.42250482	-43.0
197.634393601	-40.0
1027.72694402	-79.0
1004.34903706	-17.0
1172.66268819	-75.0
1028.17819904	0.0
950.557300783	-40.0
1057.41873244	-44.5
1294.76333151	-115.0
1046.37186674	-51.0
1096.37497934	-76.0
1132.82686756	36.0
1192.0373449	-64.0
1275.48385483	-41.0
1058.53134517	-40.0
1142.52363442	-53.0
1112.1581416	-30.0
855.025742736	-7.0
1120.36445793	-78.0
1186.56519473	-39.0
1025.11238577	-9.0
1195.83076365	-58.0
1071.76225622	-18.0
886.471663439	0.0
191.864339361	0.0
1047.85775248	-81.5
1067.60687164	0.0
925.864390373	0.0
1228.39018412	-182.0
988.456925572	-49.0
1250.22672503	-80.0
990.721271318	-39.0
957.95389179	-82.5
1091.96420315	-34.5
962.019755321	0.0
960.704304116	-40.5
992.778903627	-17.0
1155.52545904	-103.5
1056.21839987	-17.0
1036.40128895	-30.0
914.67653075	-71.0
1047.37443145	0.0
11.7452380952	-8.0
1263.37548345	-34.0
885.65863763	-49.0
885.771799284	-40.0
1189.78295079	-60.5
1055.10001785	-30.0
1058.80818049	-30.0
919.809693572	0.0
1016.81345234	-60.0
1053.17438964	-61.5
1080.38536679	-60.0
1032.70679263	-17.0
982.918207845	-51.5
1021.09366602	-39.0
1082.65785018	-30.0
1399.47873106	-142.0
858.096966694	0.0
181.165090834	-6.0
997.274557149	-24.5
1208.464944	-102.0
1050.60598931	-83.0
1243.70198338	-66.0
10.1629154266	0.0
1045.01013436	-50.0
178.210269559	0.0
1024.28967898	-63.5
157.877287383	-30.0
33.8689766939	-10.0
936.093265057	0.0
1036.99073473	-16.0
978.998209874	-41.5
1007.32431459	-9.0
1037.01995402	-28.0
518.570328001	0.0
1195.16438221	-110.0
1333.21917154	-6.0
928.142381317	3.0
1315.36841415	-36.0
937.530573409	0.0
990.668616887	-1.0
1261.60695507	-117.0
1000.67232923	0.0
921.570672979	0.0
995.874305469	-24.0
1258.11699586	-149.0
1112.57248049	-47.0
1212.70983722	-12.0
944.057284534	50.0
1259.46120638	-239.333333333
226.718855038	0.0
1053.42029363	-9.0
921.186893402	-72.5
1071.84321038	-85.0
1005.57152751	-39.0
1038.39187608	-41.0
1375.50233803	-110.0
1336.34846006	28.0
