synergy	colval
-194.747934915	8.1
-42.0864548779	4.23333333333
-61.3299674077	5.83333333333
-93.726476359	-0.166666666667
-147.0754778	0.5
-63.4524304929	5.5
-52.5841947978	-0.25
-44.7162462029	5.0
-105.252058422	7.02272727273
-90.2112837589	5.4
-99.8142892435	9.9
-126.24682383	2.0
-39.3113718023	5.33333333333
-111.429700038	13.8333333333
-122.40345436	8.33333333333
-44.5166819477	4.75
-36.1228725074	3.0
-165.604561204	2.08333333333
-20.9256428903	-0.5
-190.776653387	9.0
-95.4355026901	-0.5
-61.5189830321	0.5
-162.46048361	11.6666666667
-61.4156309894	5.66666666667
-167.039216681	19.7833333333
-169.636297732	14.2833333333
-108.522229407	-3.33333333333
-142.759045838	3.0
-169.577200765	15.7833333333
-107.933305829	0.0
-32.7996247943	6.0
-112.930644524	0.5
-34.2416559894	4.0
-190.347633821	12.5
-137.387891762	6.0
-86.4577702212	1.5
-88.0287703167	6.5
-98.2371859779	5.83333333333
-91.3527302113	9.0
-65.2638144558	0.2
-120.425532338	10.5333333333
-33.0236955262	2.5
-26.4349695029	2.75
-191.188702623	26.45
-114.662615511	-2.0
-106.701238393	4.5
-152.706237335	18.5
-25.5576123705	3.33333333333
-89.7263072306	1.5
-112.323518937	14.0
-22.2471237686	3.18181818182
-90.5980267933	6.5
-42.6431587892	1.5
-22.2471237686	3.18181818182
-176.867005705	14.7666666667
-167.740588823	6.83333333333
-77.4275292796	3.0
-105.619277127	11.8333333333
-26.991902435	4.5
-88.3578965064	6.33333333333
-20.5838275828	4.4
-108.193105045	12.3333333333
-41.1119999077	1.5
-71.6601873764	4.33333333333
-167.37129123	6.33333333333
-134.93782964	3.33333333333
-160.719222883	-3.5
-115.418116265	10.0333333333
-53.0834819854	8.83333333333
-130.382771406	-1.5
-202.685960752	18.5
-35.2615329891	2.5
-18.3314190181	2.5
-153.878492034	4.33333333333
-129.608123103	6.43333333333
-191.474487317	21.8333333333
-167.132348328	10.2833333333
-62.6302161289	8.75757575758
-82.541143575	11.3333333333
-40.6386813313	2.0
-161.530291314	4.5
-72.8037219399	9.33333333333
-141.217470333	-4.66666666667
-95.5862823415	2.75
-53.9628812682	6.58333333333
-34.1250876815	2.73333333333
-168.118045757	6.33333333333
-40.3912728006	5.75
-157.158731864	10.0
-141.064776323	12.5333333333
-76.4959052811	8.75
-23.6093792274	0.5
-124.041201684	0.333333333333
-194.205023897	11.6666666667
-17.2300983829	5.5
-90.3786362679	4.5
-47.4189288602	2.0
-90.5257543526	4.0
-165.840290705	16.7833333333
-89.3006959153	1.5
-38.0179726338	5.5
-55.0476825302	0.272727272727
-39.6735470738	4.0
-59.3154674214	3.77272727273
-153.53436745	9.5
-52.8010243246	5.5
-37.9645341859	4.5
-67.6954422508	3.0
-159.241556103	7.83333333333
-114.71970087	-1.0
-173.428577357	7.33333333333
-42.0919613962	11.5
-191.93150536	16.6166666667
-23.7325178959	6.58181818182
-164.34377201	27.2833333333
-128.937486884	-9.0
-40.0207897741	4.0
-32.3131915165	5.68181818182
-116.512458052	-2.72727272727
-110.836730385	1.27272727273
-160.719222883	-3.5
-24.3631286408	3.5
-126.994644483	7.33333333333
-88.0186200882	2.5
-32.8730215598	2.5
-25.3157123746	3.6
-131.732945031	19.9523809524
-213.553562786	25.4166666667
-56.4586056573	7.66666666667
-95.8515057257	12.6666666667
-34.3372090755	1.5
-156.11841953	2.0
-58.6108013187	8.83333333333
