synergy	colval
-71.4166666667	78.3333333333
-14.2916666667	58.5
0.0	61.75
0.0	1.25
-115.15	27.6
0.0	263.862068966
-117.015625	116.25
1.0	15.9807692308
-87.0833333333	6.0
29.925	201.555555556
-1.25	35.3333333333
-52.6666666667	55.4473684211
66.7833333333	402.5
341.5	5783.6
0.0	5.875
0.0	2.0
146.567301302	503.256854257
-34.05	0.0
-41.4090909091	144.333333333
-0.5	2.0
-194.340277778	313.779761905
-1.25	2.8
-30.0	8.8
-427.125	600.785714286
0.0	6.5
-55.125	74.6
0.0	228.512195122
-180.583333333	35.3862068966
-60.6	171.294871795
-48.5165802764	126.5
-395.5	72.8518518519
0.0	55.9
-44.2708333333	166.956140351
-359.416666667	130.871764706
0.0	21.8
0.0	13.0
0.0	236.25
51.575	458.5
-53.5	120.842105263
-100.35	1420.7985348
0.0	93.619047619
-120.333333333	11.5555555556
4.46025641026	467.250337382
-19.4166666667	89.125
-94.25	0.0
-392.526041667	356.721764706
-87.4666666667	342.261904762
-362.387152778	135.321428571
-45.7708333333	10.7894736842
-195.833333333	98.6666666667
0.0	6.1
-54.3263888889	3.5
-28.25	40.1666666667
-5.2	52.6296296296
100.0	326.642857143
-20.0	185.444444444
-41.4090909091	158.857142857
-213.125	195.7
0.0	204.0
0.0	32.8333333333
-25.0	137.4375
-70.7916666667	34.0
-20.5	0.0
0.0	34.6666666667
0.0	29.35
-3.0	23.1666666667
-14.0	17.3333333333
0.0	2.0
355.40625	1547.2452381
0.0	85.4444444444
-60.6238677536	1312.57182817
-14.0833333333	99.2857142857
85.7105263158	242.063294011
0.0	1051.0
-115.15	16.6
-637.055027174	543.137142857
-527.54053442	77.2571428571
210.291666667	633.564912281
0.0	309.8
0.0	4.375
-173.203125	202.627777778
0.0	1.5
-82.1875	123.333333333
-27.9166666667	253.533333333
-70.6826923077	40.5
-39.45	252.44
-142.955128205	35.8333333333
-104.555555556	26.3333333333
0.0	17.5357142857
-149.25	1.5
-171.508333333	82.7085714286
37.0397727273	233.287878788
-87.5833333333	76.4137931034
8.59166666667	69.4722222222
0.0	45.0
19.8333333333	93.0
-9.7	58.4978632479
-10.75	38.6666666667
-47.75	1.5
-60.05	68.7857142857
0.0	80.5
0.0	45.8214285714
-11.75	46.7916666667
-35.5	96.6666666667
-275.663194444	93.5714285714
0.0	74.5
-17.0833333333	68.85
0.833333333333	56.5
-23.1666666667	22.8955223881
-25.625	6.83333333333
-89.2960526316	10.7142857143
0.0	90.03125
0.0	116.8
-19.5	186.933198381
-1050.31597222	194.636904762
-74.3125	191.324675325
0.0	32.5714285714
-5.25	14.625
0.0	375.4
-113.75	30.2857142857
-84.25	77.1428571429
-23.1618589744	143.166666667
