synergy	colval
-87.5	63.4426229508
-87.5	63.4426229508
0.0	228.512195122
-87.5	63.4426229508
-72.2916666667	127.7
0.0	59.3125
-129.916666667	74.8769230769
-129.916666667	74.8769230769
-129.916666667	74.8769230769
-65.5	320.742857143
-65.5	320.742857143
-34.0	132.578947368
-129.916666667	74.8769230769
-185.25	4949.9
-34.0	132.578947368
-34.0	132.578947368
-34.0	132.578947368
0.0	228.512195122
0.0	173.209302326
-122.25	47.48
-3.83333333333	123.444444444
-84.3270833333	27.4285714286
13.4705882353	52.1411764706
1254.36666667	3617.6
-176.101515152	379.028571429
-71.25	11.3571428571
-72.2916666667	127.7
-212.514492754	362.88
-527.54053442	77.2571428571
-527.54053442	77.2571428571
1254.36666667	3617.6
-35.0416666667	23.96
-80.0	62.25
-19.5	52.5
-42.95	0.666666666667
-55.722826087	151.142857143
-549.645833333	341.454545455
-45.6666666667	416.029411765
-213.875	486.150943396
-453.816666667	307.961538462
0.0	93.619047619
-9.0	250.98
0.0	16.3333333333
0.0	46.875
-140.109375	118.85
-53.5	120.842105263
-53.5	120.842105263
-53.5	120.842105263
-88.9166666667	385.0
-19.5	52.5
1005.29166667	2187.55555556
-87.5	63.4426229508
-110.18125	32.28
-195.833333333	98.6666666667
-195.833333333	98.6666666667
-197.0	40.8974358974
-156.083333333	36.9333333333
0.0	71.1794871795
-170.026041667	107.5
0.0	16.3333333333
-213.75	164.545454545
1213.75595238	1907.43706294
-197.0	40.8974358974
-197.0	40.8974358974
-103.65625	54.875
-12.25	51.0
-31.8416666667	48.2083333333
114.075	529.817460317
-82.0277777778	139.595238095
-193.541666667	35.1
-60.6238677536	1312.57182817
-71.25	11.3571428571
-117.375	406.066666667
-117.375	406.066666667
-482.29053442	500.802597403
-12.25	51.0
-36.5512820513	162.730769231
-427.125	600.785714286
-14.3333333333	213.660377358
1073.58333333	2341.24404762
-358.174798977	47.8674698795
-373.041666667	76.6862068966
-129.916666667	74.8769230769
-53.5	120.842105263
0.0	918.153846154
-335.0	85.0833333333
-87.5	63.4426229508
-31.8416666667	48.2083333333
-94.6507575758	414.8
-52.6666666667	55.4473684211
-30.6666666667	57.0
-5.25	14.625
298.5	686.863636364
-51.625	137.25
-34.0	132.578947368
-34.0	132.578947368
-14.3333333333	213.660377358
-213.875	486.150943396
-32.85	64.8333333333
-233.5	13.6666666667
466.25	954.380952381
0.0	33.6666666667
-234.25	6.71428571429
-119.983333333	150.303571429
-306.678571429	58.25
0.0	125.446428571
0.0	125.446428571
0.0	50.0
-46.75	51.0
-70.0	30.7894736842
0.0	125.446428571
0.0	20.6363636364
-14.5833333333	90.0
-890.125	371.5
-25.0	137.4375
-45.7708333333	10.7894736842
-42.8552631579	49.5172413793
-60.8333333333	102.75
85.7105263158	242.063294011
-25.3125	149.391304348
-18.75	81.6428571429
0.0	10.9
0.0	10.9
0.0	46.875
0.0	29.2105263158
-148.680555556	11.0952380952
-4.95	24.8055555556
-52.6666666667	55.4473684211
-52.6666666667	55.4473684211
-52.6666666667	55.4473684211
