synergy	colval
-25.4132739776	4.885
-96.9471134464	26.6954487179
-17.2740409236	5.93
-24.4807985588	4.70222222222
-56.8672353295	4.264375
-28.7181008009	5.395
-57.9202884652	7.31628205128
-3.25071795078	2.945
-58.0339853348	8.63961538462
-21.4346393239	6.855
-88.5550951955	20.7941666667
-42.9679839108	5.16166666667
-69.0483386257	9.48270833333
-32.2015090247	8.641
-27.0839951672	4.84
-80.0076840724	15.1308333333
-37.9575325282	4.3675
-80.3540382474	8.05
-13.9018907046	2.91
-68.0040245105	11.7711111111
-47.3564515634	10.6483333333
-75.557271021	20.4424305556
-114.920369125	24.5439903846
-106.609384013	17.5875555556
-29.799669787	6.02
-47.052759473	6.384375
-26.0769779038	5.605
-72.2314858268	14.5062820513
-97.1176093994	43.5554487179
-97.6303081406	22.7779861111
-33.4592502762	6.481
-92.562653636	17.0127083333
-110.668649246	47.5156570513
-43.3428367969	5.32666666667
-91.945715952	22.6641666667
-57.6104226709	8.62861111111
-24.52487871	8.355
-69.5044751867	11.3096153846
-28.7914558501	7.15
-114.8538152	38.6858237179
-81.7558597555	14.969375
-108.914987809	35.1549861111
-42.3877477861	9.175
-115.399239295	32.4056570513
-37.0437895142	6.8125
-121.771654333	55.6636570513
-119.950031337	46.2717681624
-103.438850477	29.654875
-112.867011357	36.4610972222
-109.835391377	102.028379274
-105.318657128	14.4576014957
-81.9246757274	14.0402083333
-38.6118840085	14.1461111111
-110.558731438	36.5987083333
-75.5620346207	18.015
-57.9776814073	12.0654861111
-68.7450346689	12.9241666667
-63.8769377911	8.84659722222
-73.930134879	14.1888888889
-75.135877053	11.209375
-55.967281105	11.674375
-67.3608449144	24.0188376068
-22.2899392421	2.0
-81.4055985514	14.6971153846
-40.0129580549	8.4375
-75.6732680869	12.1427083333
-49.0844457585	9.46977777778
-107.669308628	30.1014903846
-39.9818496635	17.445
-75.4115035808	12.9752083333
-110.28312205	55.8565459402
-51.7939881798	8.95961538462
-12.283759114	3.84416666667
-101.143472442	40.8863194444
-64.7360605784	13.7136111111
-61.4542459729	6.509375
-53.0254805866	5.824375
-81.5452815806	12.8410416667
-82.3084388676	11.9565972222
-91.1069489509	38.1560416667
-53.7056572396	6.876375
-65.0554415016	11.014375
