synergy	colval
1345.83606049	1240.0
2.68666969042	-2.0
137.893332471	34.0
192.77867434	195.0
-258.847949438	-353.0
79.4937830287	70.0
-67.8045160147	-174.0
10.4921975302	-27.0
105.613508356	65.0
17.8830811859	18.0
-134.092041544	-246.0
-20.3151510597	-108.0
143.168988614	118.0
-5.33668261336	-135.0
-4.82901698155	-16.0
-30.6612255093	-47.0
4.67764706355	-2.0
584.960219719	467.0
33.2416171278	-27.0
-26.9125817746	-64.0
-49.7081854528	-41.0
-67.3240126075	-113.0
37.0010227028	6.0
88.7536397652	34.0
-261.201655721	-322.0
103.196781242	29.0
-4.08472881141	-121.0
1.42323595227	-26.0
70.5275799846	14.0
-17.6666427841	-111.0
62.9085257661	58.0
-42.8802891762	-41.0
-87.7017758929	-163.0
-21.3342928099	-124.0
32.9421451968	0.0
37.8595481695	38.0
-28.4176790658	-36.0
83.2546016224	35.0
-56.3020561559	-153.0
13.7432073786	-89.0
-31.6228183288	-105.0
-49.7045858094	-143.0
-189.585778855	-250.0
-34.5515124586	-109.0
79.9643081343	14.0
33.3579373814	33.0
-32.0719951924	-74.0
12.86134254	-83.0
22.2434182714	-57.0
72.5159571417	17.0
33.91796271	-4.0
8.76504996514	-10.0
90.8037863872	18.0
294.6532456	178.0
58.804199576	-69.0
147.995669643	95.0
-365.562212353	-494.0
29.2971617393	14.0
11.204299606	42.0
-260.06835337	-374.0
57.8658437753	30.0
-34.8743065594	-77.0
43.6892856171	38.0
-6.02152590728	-89.0
13.2297444437	-50.0
-4.64471041747	-78.0
60.2012360441	-3.0
7.58847352479	-78.0
-9.51752532026	1.0
-231.534139867	-310.0
-109.658793075	-169.0
-52.9096588107	-128.0
25.261623157	-79.0
576.223331586	470.0
-56.8866970705	-176.0
-37.114996015	-104.0
-8.27830431932	6.0
4.85986710149	-45.0
-98.7657084812	-149.0
17.8439977209	-51.0
91.2343631714	-21.0
-27.5154776579	-54.0
-68.9055658946	-93.0
713.360113874	615.0
7.77097126558	-90.0
-71.4766396343	-73.0
12.0059306092	-34.0
-54.0178879321	-37.0
51.3680817532	4.0
17.0544607224	15.0
-53.2626188435	-49.0
-9.5771182654	-47.0
-242.196977301	-338.0
34.7104376347	20.0
39.0074157113	39.0
29.4182249673	4.0
-10.286097827	-104.0
0.0528776567982	-32.0
18.2295044098	-61.0
58.6144637362	26.0
-12.0743725398	-14.0
-23.6811771307	-23.0
59.3596384034	43.0
-26.508194323	-22.0
23.0564232063	-34.0
-14.8625012232	-28.0
-232.336520166	-328.0
-117.216305475	-229.0
-18.8911363901	-44.0
-1.15380209968	-94.0
12.1175709721	-61.0
-41.1610529325	-45.0
28.0596652776	-3.0
-76.3981160718	-115.0
-414.982202151	-524.0
-118.927583769	-199.0
43.7856148916	35.0
-18.0290897772	-106.0
-19.0515673536	-80.0
54.2814860472	33.0
817.252326284	701.0
-173.667956289	-291.0
13.7210602331	31.0
673.667110226	573.0
-458.771829131	-574.0
19.6618090149	0.0
63.4218814237	-7.0
25.3305669985	3.0
12.1881379363	10.0
707.513769381	598.0
15.7768867666	-5.0
-87.273410511	-170.0
-151.247552726	-218.0
271.351503059	170.0
-13.9114597266	-33.0
59.6963028655	32.0
-106.966975615	-188.0
315.139837282	206.0
-107.565517963	-181.0
-201.926749777	-303.0
-58.1998895024	-131.0
-86.3336190654	-158.0
-78.7567624325	-178.0
-11.9510926336	-103.0
1713.00656929	1597.0
-107.905385619	-224.0
-41.1527477675	-136.0
-3.26791113716	-3.0
16.4198726582	13.0
51.1639849802	18.0
-49.5369957576	-73.0
44.723372738	41.0
-129.702635784	-196.0
31.561142585	1.0
59.4122758089	-26.0
-8.96886078575	-98.0
-183.809993415	-267.0
-123.20539516	-202.0
-21.3812419324	-22.0
-40.4134672464	-113.0
-8.02943574854	-37.0
-30.3901478736	-67.0
-25.3816313329	-93.0
93.510484116	47.0
-9.11327160776	-50.0
57.4440365391	-66.0
-7.2391393387	-38.0
30.9468156201	-48.0
-26.8298201631	-51.0
-6.70339983414	-81.0
